city,Total,Total_length,Area
Bradford,62,1367.7559174297858,231.763343076535
Brighton & Hove,24,588.9115080697756,56.2448275735961
Bristol,496,891.5222751136632,67.419885667708
Calderdale,8,516.6267845522293,124.932513739859
Cambridge,18,184.485069410374,15.1256080920499
Hull,284,355.61277029898315,24.2147563870333
Leeds,29,2477.525750849901,398.482934479664
North Yorkshire,3217,9040.750027446094,6866.76595469865
Oxfordshire,435,5232.778404800854,2397.97516350981
West Midlands,312,1199.1774584598752,97.0157260707809
National Highways,11169,245273.84430675913,92721.6163020401
